index,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price,Date-Monthly
0,0.7960099666666678,0.4725689444444434,0.24114633333333302,-0.13664963068609537,-0.09179380527955228,-2800.9177499999932,-4655.789509259266,-2335.3829074074056,-2320.402592592589,-1892.575777777778,-0.5555555555555571,0.0593518518518521,-272.3148148148139,-263.8888888888887,0.0,-272.3148148148139,-113.52777777777737,0.0,-8.42592592592598,-96.77777777777737,-16.75,0.0,0.03355555555555567,Jan-10
1,2.945390766666666,0.1746523333333343,-0.44062555555555605,-0.14452366052930443,-0.10571880211863449,-2801.105888888884,-4658.852629629633,-2336.98437037037,-2321.8640740740775,-1898.8426666666655,-0.5555555555555571,0.059259259259259345,-275.1851851851861,-266.66666666666697,0.0,-275.1851851851861,-115.22222222222263,0.0,-8.518518518518476,-98.22222222222263,-17.0,0.0,0.008888888888888835,Feb-10
2,4.139032633333333,0.4751732777777793,0.4835065555555609,-0.11565378802310833,-0.08929945960083308,-2801.294027777778,-4661.91575,-2338.585833333331,-2323.325555555555,-1905.1095555555548,-0.5555555555555571,0.05916666666666681,-278.05555555555475,-269.44444444444434,0.0,-278.05555555555566,-116.91666666666697,0.0,-8.611111111111086,-99.66666666666697,-17.25,0.0,-0.02499999999999991,Mar-10
3,-0.005149488888889664,1.0114580000000029,0.4637162222222244,-0.11299456585948797,-0.06957316587158502,-2801.482166666665,-4664.978870370374,-2340.1872962962952,-2324.787037037033,-1911.3764444444441,-0.5555555555555571,0.05907407407407406,-280.92592592592337,-272.2222222222226,0.0,-280.9259259259252,-118.61111111111131,0.0,-8.703703703703809,-101.11111111111131,-17.5,0.0,-0.04555555555555557,Apr-10
4,0.09727737777777712,0.00729166666666714,-0.04322888888889054,-0.11027410385861847,-0.10153329478050044,-2801.6703055555554,-4668.041990740741,-2341.7887592592597,-2326.2485185185215,-1917.6433333333334,-0.5555555555555571,0.058981481481481746,-283.79629629629926,-275.0,0.0,-283.79629629629653,-120.30555555555566,0.0,-8.796296296296191,-102.55555555555566,-17.75,0.0,-0.0444444444444444,May-10
5,-1.6709191000000008,0.04652788888888715,-0.312327111111113,-0.1325394954553446,-0.1060579766018599,-2801.8584444444496,-4671.105111111116,-2343.3902222222205,-2327.709999999999,-1923.910222222221,-0.5555555555555571,0.05888888888888899,-286.6666666666679,-277.7777777777774,0.0,-286.66666666666697,-122.0,0.0,-8.888888888888914,-104.0,-18.0,0.0,-0.0705555555555556,Jun-10
6,-0.9202204444444471,-0.6102436666666673,-0.4444454444444439,-0.0739070620461304,-0.08409642881302315,-2795.171370370368,-4662.156101851855,-2338.936611111116,-2323.2155740740745,-1924.7690000000002,-0.5555555555555571,0.05296296296296288,-263.7037037037044,-255.55555555555566,0.0,-263.7037037037044,-120.64444444444416,0.0,-8.148148148148152,-102.84444444444443,-17.80000000000001,0.0,-0.1166666666666667,Jul-10
7,-4.320661622222222,0.18437477777777644,0.4168404444444427,-0.09280426259416108,-0.07854715740692064,-2788.484296296301,-4653.207092592595,-2334.483,-2318.7211481481463,-1925.627777777776,-0.5555555555555571,0.04703703703703699,-240.74074074073724,-233.33333333333303,0.0,-240.74074074073997,-119.28888888888832,0.0,-7.407407407407391,-101.68888888888887,-17.599999999999994,0.0,-0.09444444444444444,Aug-10
8,-2.247848333333333,-0.10885433333333339,-0.431423111111112,-0.08261725120562391,-0.09451662265877758,-2781.7972222222234,-4644.258083333327,-2330.0293888888846,-2314.2267222222217,-1926.4865555555552,-0.5555555555555571,0.04111111111111132,-217.77777777777737,-211.1111111111113,0.0,-217.77777777777737,-117.9333333333334,0.0,-6.666666666666629,-100.53333333333285,-17.400000000000006,0.0,-0.1255555555555556,Sep-10
9,-1.4184734555555538,-0.2633678888888884,0.35017444444444834,-0.055247754712028474,-0.12154694466914762,-2775.110148148149,-4635.309074074074,-2325.5757777777762,-2309.732296296297,-1927.3453333333327,-0.5555555555555571,0.035185185185184986,-194.8148148148175,-188.8888888888887,0.0,-194.8148148148157,-116.57777777777756,0.0,-5.925925925925981,-99.37777777777728,-17.19999999999999,0.0,-0.1435555555555556,Oct-10
