,Date-Monthly,precip,mintemp,maxtemp
0,Jan-00,11.74234,8.671333,26.58679
1,Feb-00,8.485241,9.121604,27.611334
2,Mar-00,31.619686,11.373417,26.580687
3,Apr-00,81.54069,12.4513645,26.112665
4,May-00,69.00716,12.405396,25.841312
5,Jun-00,47.03608,10.546615,23.370468
6,Jul-00,40.29122,11.734094,23.978636
7,Aug-00,82.34186,11.635531,24.012667
8,Sep-00,48.550026,9.661698,24.320656
9,Oct-00,60.133163,9.602667,24.95126
10,Nov-00,66.05291,11.584428,24.504436
11,Dec-00,41.828205,10.930031,23.991707
12,Jan-01,81.05433,11.949458,25.272728
13,Feb-01,10.346421,12.016916,27.094145
14,Mar-01,92.412285,11.798417,27.580687
15,Apr-01,115.212906,12.988864,25.229855
16,May-01,74.35307,12.908521,25.131937
17,Jun-01,53.267956,11.054427,23.165781
18,Jul-01,101.72929,11.191906,23.086449
19,Aug-01,85.879105,10.388656,24.028292
20,Sep-01,46.13825,10.258574,25.48003
21,Oct-01,71.000824,11.012042,26.04345
22,Nov-01,84.8045,11.234427,24.662249
23,Dec-01,14.835144,10.559718,25.863583
24,Jan-02,33.468292,11.246333,26.139915
25,Feb-02,58.99636,11.876291,27.24102
26,Mar-02,46.03475,12.715605,26.401
27,Apr-02,190.38483,13.688864,25.075167
28,May-02,140.15685,12.7803955,25.499125
29,Jun-02,32.207424,11.634115,24.357967
30,Jul-02,44.154938,11.416906,24.178637
31,Aug-02,58.53658,12.173031,23.275166
32,Sep-02,70.47539,11.146073,25.137842
33,Oct-02,74.70932,11.332355,25.10595
34,Nov-02,72.20295,11.989115,24.659124
35,Dec-02,152.41087,12.009719,25.088583
36,Jan-03,16.644993,10.879146,27.647728
37,Feb-03,4.3751464,10.916917,28.669146
38,Mar-03,46.370262,11.660917,28.343187
39,Apr-03,198.72504,12.896677,26.845478
40,May-03,172.02367,13.688209,25.286625
41,Jun-03,41.507072,12.021614,23.965782
42,Jul-03,70.89978,11.516906,23.511448
43,Aug-03,68.97199,10.693343,23.737665
44,Sep-03,72.7561,10.799198,24.645655
45,Oct-03,50.08812,10.577667,25.113762
46,Nov-03,39.256294,11.04224,25.574749
47,Dec-03,42.024178,11.397219,26.901083
48,Jan-04,52.124096,11.833833,27.199291
49,Feb-04,27.9599,12.75598,26.953522
50,Mar-04,56.428253,11.60623,26.5135
51,Apr-04,128.07117,12.409177,24.795479
52,May-04,89.58189,12.413209,25.349125
53,Jun-04,49.81013,11.479427,24.157969
54,Jul-04,65.08749,10.516906,23.88645
55,Aug-04,64.22109,10.873031,24.212666
56,Sep-04,60.14086,10.221073,24.53003
57,Oct-04,63.073856,10.319855,24.143448
58,Nov-04,66.047844,10.812552,24.49975
59,Dec-04,51.887383,10.8472185,24.738583
60,Jan-05,22.697964,9.041646,25.972729
61,Feb-05,30.543493,9.946604,28.261333
62,Mar-05,59.67169,11.095292,27.772875
63,Apr-05,63.449528,13.163864,25.912664
64,May-05,105.92174,11.967896,24.741312
65,Jun-05,48.26091,11.484115,23.490782
66,Jul-05,69.97743,11.179406,22.773949
67,Aug-05,73.84052,10.743343,23.20798
68,Sep-05,52.887527,10.53201,24.790966
69,Oct-05,63.581425,10.262042,24.930948
70,Nov-05,29.926338,11.06724,25.512249
71,Dec-05,43.612003,10.009719,26.638582
72,Jan-06,24.63292,10.246333,27.269604
73,Feb-06,33.272064,10.871604,28.191021
74,Mar-06,102.829895,12.928104,26.460375
75,Apr-06,151.23817,12.588863,25.029854
76,May-06,91.43057,12.025709,24.499125
77,Jun-06,25.100737,10.954427,24.265781
78,Jul-06,39.45734,11.579406,23.419262
79,Aug-06,126.77825,11.44803,24.125166
80,Sep-06,115.2352,9.916386,24.000343
81,Oct-06,74.384056,10.969854,25.37626
82,Nov-06,101.524895,11.70474,23.766935
83,Dec-06,64.00551,11.389406,23.705769
84,Jan-07,28.704544,10.586958,26.185228
85,Feb-07,34.181465,10.429417,26.869146
86,Mar-07,61.29109,11.232792,26.785376
87,Apr-07,128.3168,11.943552,25.59704
88,May-07,104.250755,12.530396,25.053812
89,Jun-07,48.50496,10.554427,23.432968
90,Jul-07,137.78825,10.179406,22.773949
91,Aug-07,113.11461,10.955843,23.487667
92,Sep-07,125.21806,10.561698,24.675343
93,Oct-07,35.607407,10.619854,25.493448
94,Nov-07,38.90814,10.17974,24.67475
95,Dec-07,55.16122,10.622218,25.213581
96,Jan-08,25.578064,10.119771,26.99304
97,Feb-08,38.99809,10.221604,26.694145
98,Mar-08,110.8207,11.473417,26.1135
99,Apr-08,88.710075,11.956052,24.837666
100,May-08,94.35523,11.760083,24.596
101,Jun-08,49.519436,10.851302,23.062656
102,Jul-08,67.61418,10.738781,23.583324
