,Date-Monthly,precip,mintemp,maxtemp
0,Jan-00,53.27938,16.078907,28.547417
1,Feb-00,40.091198,16.382,29.103855
2,Mar-00,78.30666,17.327417,28.23299
3,Apr-00,192.21335,17.569344,28.0143
4,May-00,139.65227,17.381073,28.039394
5,Jun-00,79.11334,15.967073,26.543398
6,Jul-00,48.193558,16.29952,26.789803
7,Aug-00,92.50736,16.513094,27.459604
8,Sep-00,128.71365,15.708094,27.047853
9,Oct-00,204.48038,16.11075,27.538542
10,Nov-00,129.94437,17.537407,28.135916
11,Dec-00,108.14318,16.587448,26.960947
12,Jan-01,143.38696,17.907032,29.25523
13,Feb-01,49.233616,18.3695,29.558542
14,Mar-01,127.45683,18.182104,28.725178
15,Apr-01,185.95326,17.974031,27.568987
16,May-01,125.76948,17.671698,27.359707
17,Jun-01,68.73715,16.17176,26.010586
18,Jul-01,82.277374,15.99952,26.277302
19,Aug-01,93.66666,16.063093,26.772104
20,Sep-01,120.74144,16.620594,27.80254
21,Oct-01,199.53316,17.42325,28.163542
22,Nov-01,171.36401,17.417093,27.878103
23,Dec-01,54.28428,16.742136,27.990635
24,Jan-02,96.236565,17.66172,29.009918
25,Feb-02,84.456184,18.727314,30.016356
26,Mar-02,139.09474,18.199291,28.609552
27,Apr-02,181.78722,18.406845,27.768988
28,May-02,183.351,18.076385,27.759708
29,Jun-02,52.437656,16.87176,26.998085
30,Jul-02,44.561764,16.59952,27.089802
31,Aug-02,62.956932,16.80528,27.36898
32,Sep-02,61.035816,17.112782,28.357227
33,Oct-02,148.29735,17.006063,27.758854
34,Nov-02,156.1983,17.804594,27.728104
35,Dec-02,172.76585,17.596823,28.21251
36,Jan-03,47.96511,18.028908,29.777105
37,Feb-03,47.97286,18.232,29.953854
38,Mar-03,129.42068,18.332106,29.187677
39,Apr-03,221.91379,18.524033,28.006487
40,May-03,166.78232,18.176386,27.447208
41,Jun-03,71.18592,16.876448,26.702772
42,Jul-03,60.140255,16.77452,27.152302
43,Aug-03,92.45784,15.813093,26.514292
44,Sep-03,77.1055,17.045595,27.46504
45,Oct-03,91.4981,16.951376,27.691666
46,Nov-03,110.68863,17.709282,28.132792
47,Dec-03,99.15826,18.142136,29.465635
48,Jan-04,81.03868,18.72422,30.084917
49,Feb-04,49.459427,18.564814,29.916355
50,Mar-04,120.58275,17.805542,28.37049
51,Apr-04,161.72612,17.619343,26.734613
52,May-04,119.88535,17.788887,27.45502
53,Jun-04,78.3197,17.271759,27.198084
54,Jul-04,43.93345,16.48702,27.089802
55,Aug-04,87.8258,16.638094,27.476791
56,Sep-04,116.265945,16.425282,27.294727
57,Oct-04,124.70151,16.656061,27.296354
58,Nov-04,153.62434,17.396782,27.640604
59,Dec-04,93.03303,17.117136,27.715635
60,Jan-05,67.572914,16.199219,28.009918
61,Feb-05,74.17065,18.689814,30.553856
62,Mar-05,144.28873,18.85398,29.279865
63,Apr-05,143.23419,18.806845,28.622112
64,May-05,150.80435,17.288887,26.70971
65,Jun-05,73.40373,17.026447,26.790272
66,Jul-05,59.2028,15.874521,26.085114
67,Aug-05,92.17447,16.225595,26.739292
68,Sep-05,117.37344,17.22528,28.107227
69,Oct-05,130.59607,16.518564,27.646355
70,Nov-05,103.78922,17.296782,28.93279
71,Dec-05,84.96041,18.020262,29.898447
72,Jan-06,60.930458,17.72422,29.992731
73,Feb-06,81.290665,17.832,29.903854
74,Mar-06,162.89314,18.464916,28.487677
75,Apr-06,158.13046,17.906845,27.2768
76,May-06,158.9241,16.851385,26.214396
77,Jun-06,62.121803,16.126448,26.765272
78,Jul-06,52.19236,16.294834,26.989801
79,Aug-06,106.66092,16.43028,27.13148
80,Sep-06,120.20788,15.720593,27.02754
81,Oct-06,123.75158,17.118563,28.591667
82,Nov-06,204.25589,17.799906,27.231228
83,Dec-06,126.84358,17.192135,26.740635
84,Jan-07,91.69872,17.986721,29.077105
85,Feb-07,91.44086,17.886688,29.271042
86,Mar-07,131.47229,18.089916,29.387676
87,Apr-07,190.259,17.781843,27.709614
88,May-07,151.61787,17.881073,27.764397
89,Jun-07,80.03847,16.07176,25.810585
90,Jul-07,96.893486,15.1120205,25.556988
91,Aug-07,97.44811,15.813093,26.414291
92,Sep-07,257.24762,16.628407,27.122854
93,Oct-07,106.618996,16.581062,28.158854
94,Nov-07,116.89575,16.392094,27.195292
95,Dec-07,90.58861,17.442137,28.453135
96,Jan-08,64.487686,18.341408,29.814606
97,Feb-08,64.322235,17.539814,29.224167
98,Mar-08,130.59311,17.98523,28.09549
99,Apr-08,141.35016,16.969345,27.0643
100,May-08,127.077446,16.843573,26.801895
101,Jun-08,71.18667,16.18426,26.010586
102,Jul-08,57.655273,15.666708,26.989801
103,Aug-08,83.90658,16.325594,27.326794
104,Sep-08,153.91751,17.483093,27.994728
105,Oct-08,180.85977,16.931063,26.958855
106,Nov-08,180.80646,17.104595,27.453104
107,Dec-08,53.137383,15.942136,27.403135
108,Jan-09,94.80577,18.019533,29.75523
109,Feb-09,77.0293,17.614813,29.203854
110,Mar-09,100.25041,18.289917,28.900177
111,Apr-09,236.89406,18.231844,27.7268
112,May-09,140.25003,17.676386,27.414396
113,Jun-09,46.99644,16.788948,26.965273
114,Jul-09,43.24801,16.671396,27.656988
115,Aug-09,62.61789,16.625595,27.826794
116,Sep-09,136.84528,17.273718,28.030666
117,Oct-09,188.63489,17.426376,28.204166
118,Nov-09,152.36075,17.47178,27.945292
119,Dec-09,93.69296,18.309324,29.065636
120,Jan-10,91.235596,17.48672,29.522417
121,Feb-10,131.19829,16.8195,28.321043
122,Mar-10,193.73402,18.344604,29.009552
123,Apr-10,187.97446,18.381844,27.972113
124,May-10,168.03384,17.471699,27.359707
125,Jun-10,187.9666,16.726448,26.648083
126,Jul-10,45.28779,15.866709,26.902302
127,Aug-10,63.26236,16.125595,27.264292
128,Sep-10,86.35246,16.833094,27.740042
129,Oct-10,162.58498,17.226376,28.399479
130,Nov-10,126.51745,17.212406,28.153103
131,Dec-10,75.58181,17.779636,28.690636
132,Jan-11,66.80712,18.02422,29.805231
133,Feb-11,53.36741,17.489813,29.028854
134,Mar-11,143.13242,18.052416,28.712677
135,Apr-11,165.77379,18.336533,28.0268
136,May-11,153.91557,17.67951,27.950333
137,Jun-11,147.84346,16.67176,26.943398
138,Jul-11,51.31096,15.962021,26.839802
139,Aug-11,108.85778,16.705282,26.00648
140,Sep-11,140.1178,16.970594,26.890041
141,Oct-11,131.77998,15.8810625,26.808855
142,Nov-11,185.2293,16.554594,26.453104
143,Dec-11,94.72145,16.499949,26.923447
144,Jan-12,42.128662,15.764845,28.70523
145,Feb-12,52.807045,17.082,29.566355
146,Mar-12,98.536446,17.532104,28.992365
147,Apr-12,251.91005,17.169344,26.959614
148,May-12,131.71408,17.388885,26.976896
149,Jun-12,166.83832,16.813948,26.398085
150,Jul-12,59.933586,15.962021,26.339802
151,Aug-12,65.91394,16.308407,27.109606
152,Sep-12,177.06776,17.092468,28.149416
153,Oct-12,192.07475,17.27325,27.951042
