,Date-Monthly,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population
0,Jun-00,25194.298,31964.557,16097.751,15866.806,6256.185
1,Jun-01,25779.834,32848.564,16546.531000000003,16302.038,6541.648
2,Jun-02,26374.762000000002,33751.739,17004.033,16747.713,6839.246999999999
3,Jun-03,26981.085,34678.779,17472.554,17206.227,7149.767
4,Jun-04,27600.542,35635.271,17954.877,17680.39,7474.389
5,Jun-05,28234.834,36624.895,18452.871,18172.026,7813.454000000001
6,Jun-06,28883.861,37649.032999999996,18967.16,18681.879,8168.189
7,Jun-07,29547.088,38705.932,19496.92,19209.014,8538.821
8,Jun-08,30222.715,39791.981,20040.72,19751.264,8925.701
9,Jun-09,30909.074,40901.792,20596.355,20305.443,9328.13
10,Jun-10,31603.482999999997,42030.676,21161.842,20868.842,9746.669
11,Jun-11,32303.237999999998,43178.274000000005,21737.158,21441.112,10183.601
12,Jun-12,33007.2,44343.467000000004,22321.708,22021.761000000002,10639.428999999998
13,Jun-13,33712.691,45519.981,22912.189,22607.797000000002,11114.158000000001
14,Jun-14,34416.636,46700.055,23504.482999999997,23195.58,11607.614
15,Jun-15,35116.503,47878.335999999996,24095.73,23782.609,12119.756000000001
16,Jun-16,35810.733,49051.53400000001,24684.28,24367.251,12650.833999999999
17,Jun-17,36498.515,50221.142,25271.004,24950.142000000003,13201.347
18,Jun-18,37179.074,51392.565,25858.696,25533.874,13771.805
