,Date-Monthly,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population
0,Jun-00,6827.783,7933.681,4057.739,3875.949,1197.92
1,Jun-01,7010.937,8231.155999999999,4207.424,4023.7259999999997,1318.469
2,Jun-02,7104.058000000001,8427.06,4306.107,4120.954000000001,1432.1470000000002
3,Jun-03,7213.04,8557.161,4371.762,4185.398,1467.306
4,Jun-04,7327.409000000001,8680.524,4434.02,4246.496,1491.029
5,Jun-05,7471.017,8840.215,4514.517,4325.7029999999995,1520.7179999999998
6,Jun-06,7649.129,9043.337,4616.849,4426.4929999999995,1557.451
7,Jun-07,7848.805,9273.757,4732.973,4540.786,1598.5970000000002
8,Jun-08,8065.028,9524.534,4859.345,4665.187,1643.141
9,Jun-09,8288.298,9782.77,4989.389,4793.380999999999,1689.148
10,Jun-10,8511.644,10039.338,5118.459,4920.879,1735.1979999999999
11,Jun-11,8734.828000000001,10293.331,5246.075,5047.258,1781.243
12,Jun-12,8960.938,10549.673,5374.743,5174.925,1827.915
13,Jun-13,9189.947,10811.538,5506.169,5305.369000000001,1875.204
14,Jun-14,9420.354,11083.63,5642.8369999999995,5440.7919999999995,1925.003
15,Jun-15,9652.086,11369.071000000002,5786.418000000001,5582.648,1977.467
16,Jun-16,9884.801,11668.827,5937.4490000000005,5731.38,2032.707
17,Jun-17,10117.663,11980.961000000001,6094.897,5886.063,2090.744
18,Jun-18,10349.599,12301.97,6256.911999999999,6045.057,2151.5570000000002
