,Date-Monthly,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population
0,Jun-00,26553.317000000003,33499.18,16838.006,16661.171000000002,7624.725
1,Jun-01,27154.582000000002,34385.856,17283.163,17102.686,7962.437
2,Jun-02,27785.622000000003,35334.788,17758.831000000002,17575.959,8320.186
3,Jun-03,28377.799,36337.782,18260.492,18077.286,8771.273000000001
4,Jun-04,28984.506,37379.767,18780.108,18599.658,9265.478000000001
5,Jun-05,29619.017999999996,38450.32,19312.186,19138.137,9791.527
6,Jun-06,30282.031000000003,39548.663,19856.009,19692.657,10352.917
7,Jun-07,30972.693,40681.414,20415.193,20266.223,10951.021999999999
8,Jun-08,31684.102000000003,41853.943999999996,20993.496,20860.448,11586.042
9,Jun-09,32408.679,43073.834,21596.2,21477.63,12255.552
10,Jun-10,33138.622,44346.525,22227.068,22119.464,12959.969
11,Jun-11,33871.494,45673.512,22887.321,22786.199,13699.408000000001
12,Jun-12,34606.977999999996,47053.03,23575.682,23477.351000000002,14476.018999999998
13,Jun-13,35346.511,48483.129,24290.237999999998,24192.894,15290.083999999999
14,Jun-14,36092.092000000004,49960.560999999994,25027.952999999998,24932.61,16142.777
15,Jun-15,36844.744,51482.633,25786.5,25696.138,17035.213
16,Jun-16,37603.765,53049.23,26565.525,26483.706000000002,17968.436
17,Jun-17,38367.191,54660.33900000001,27365.425,27294.92,18942.828
18,Jun-18,39132.847,56313.437999999995,28185.447999999997,28127.996,19958.545
