,Date-Monthly,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population
0,Jun-00,20484.903000000002,23650.172000000002,12007.348999999998,11642.81,3554.3709999999996
1,Jun-01,21076.726000000002,24388.967999999997,12381.575,12007.399,3778.1659999999997
2,Jun-02,21699.29,25167.257,12772.573,12394.688,4018.758
3,Jun-03,22348.557,25980.552000000003,13180.488000000001,12800.059,4276.263
4,Jun-04,23017.847,26821.297000000002,13604.893999999998,13216.406,4550.589
5,Jun-05,23702.764,27684.585,14045.553999999998,13639.036,4841.1759999999995
6,Jun-06,24401.496,28571.475,14503.938,14067.537,5149.166
7,Jun-07,25115.006,29486.338,14981.114,14505.221000000001,5475.481
8,Jun-08,25842.671000000002,30431.736,15476.024,14955.71,5821.225
9,Jun-09,26585.117000000002,31411.096,15986.976,15424.12,6186.778
10,Jun-10,27341.361,32428.167,16513.345,15914.819,6573.772
11,Jun-11,28110.752999999997,33476.772000000004,17051.388,16425.384,6982.895
12,Jun-12,28891.6,34558.704,17602.608,16956.092,7415.196
13,Jun-13,29683.1,35694.519,18177.539,17516.98,7870.626
14,Jun-14,30482.665,36911.523,18790.443,18121.087,8350.673
15,Jun-15,31289.039,38225.453,19449.738999999998,18775.708,8855.831
16,Jun-16,32101.656000000003,39649.166,20161.759,19487.414,9386.309000000001
17,Jun-17,32920.646,41166.587999999996,20918.416,20248.172,9942.312
18,Jun-18,33745.48,42729.03599999999,21696.127,21032.905,10525.083
