Date-Monthly,"Cameroon, Retail, Bafoussam, Beans (red), USD/kg" Commodity Code: 71332 ,"Cameroon, Retail, Bamenda, Beans (red), USD/kg" Commodity Code: 71332 ,"Cameroon, Retail, Garoua, Beans (red), USD/kg" Commodity Code: 71332 ,"Cameroon, Retail, Yaundé, Beans (red), USD/kg" Commodity Code: 71332 
Jan-05,0.78,0.58,0.88,0.75
Feb-05,0.77,0.54,0.72,0.74
Mar-05,0.75,0.57,0.79,0.76
Apr-05,0.70,0.53,0.81,0.77
May-05,0.69,0.53,0.79,0.75
Jun-05,0.66,0.61,0.80,0.71
Jul-05,0.66,0.57,0.76,0.71
Aug-05,0.66,0.53,0.84,0.77
Sep-05,0.69,0.54,0.94,0.82
Oct-05,0.68,0.64,1.00,1.18
Nov-05,0.67,0.63,0.97,1.14
Dec-05,0.67,0.52,0.94,1.11
Jan-06,0.71,0.68,0.92,1.11
Feb-06,0.70,0.52,0.79,1.10
Mar-06,0.69,0.66,0.84,1.05
Apr-06,0.70,0.72,0.95,1.13
May-06,0.73,0.77,1.01,1.19
Jun-06,0.68,0.71,0.99,1.19
Jul-06,0.79,0.74,0.98,1.19
Aug-06,0.71,0.71,1.19,1.20
Sep-06,0.76,0.87,1.19,1.12
Oct-06,0.77,0.89,1.13,1.09
Nov-06,0.82,0.78,1.10,1.10
Dec-06,0.75,0.57,1.27,1.15
Jan-07,0.83,0.78,1.25,1.11
Feb-07,0.84,0.67,1.03,1.12
Mar-07,0.95,0.94,1.58,1.13
Apr-07,1.14,0.89,1.66,1.20
May-07,1.13,0.89,1.63,1.14
Jun-07,0.87,0.85,1.55,1.13
Jul-07,0.85,0.88,1.48,1.15
Aug-07,0.84,0.85,1.15,1.15
Sep-07,0.90,0.80,1.46,1.07
Oct-07,0.89,0.78,1.39,1.12
Nov-07,0.86,0.80,1.42,1.17
Dec-07,0.80,0.71,1.41,1.18
Jan-08,0.82,0.79,1.37,1.16
Feb-08,0.77,0.85,1.21,1.18
Mar-08,0.93,0.93,1.17,1.25
Apr-08,0.90,0.83,1.27,1.27
May-08,0.96,0.86,1.20,1.28
Jun-08,0.89,0.94,1.22,1.29
