Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","31964.557","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 persons","15866.806","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 persons","16097.751","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 persons","25194.298","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 persons","6256.185","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","32848.564","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 persons","16302.038","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 persons","16546.531","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 persons","25779.834","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 persons","6541.648","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","33751.739","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 persons","16747.713","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 persons","17004.033","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 persons","26374.762","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 persons","6839.247","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","34678.779","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 persons","17206.227","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 persons","17472.554","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 persons","26981.085","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 persons","7149.767","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 persons","35635.271","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2004","2004","1000 persons","17680.39","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2004","2004","1000 persons","17954.877","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2004","2004","1000 persons","27600.542","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2004","2004","1000 persons","7474.389","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 persons","36624.895","X","International reliable sources",""
"OA","Annual population","114","Kenya","512","Total Population - Male","3010","Population - Est. & Proj.","2005","2005","1000 persons","18172.026","X","International reliable sources",""
"OA","Annual population","114","Kenya","513","Total Population - Female","3010","Population - Est. & Proj.","2005","2005","1000 persons","18452.871","X","International reliable sources",""
"OA","Annual population","114","Kenya","551","Rural population","3010","Population - Est. & Proj.","2005","2005","1000 persons","28234.834","X","International reliable sources",""
"OA","Annual population","114","Kenya","561","Urban population","3010","Population - Est. & Proj.","2005","2005","1000 persons","7813.454","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","114","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 persons","37649.033","X","International reliable sources",""
