Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","7933.681","X","International reliable sources",""
"OA","Annual population","184","Rwanda","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 persons","3875.949","X","International reliable sources",""
"OA","Annual population","184","Rwanda","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 persons","4057.739","X","International reliable sources",""
"OA","Annual population","184","Rwanda","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 persons","6827.783","X","International reliable sources",""
"OA","Annual population","184","Rwanda","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 persons","1197.92","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","8231.156","X","International reliable sources",""
"OA","Annual population","184","Rwanda","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 persons","4023.726","X","International reliable sources",""
"OA","Annual population","184","Rwanda","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 persons","4207.424","X","International reliable sources",""
"OA","Annual population","184","Rwanda","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 persons","7010.937","X","International reliable sources",""
"OA","Annual population","184","Rwanda","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 persons","1318.469","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","8427.06","X","International reliable sources",""
"OA","Annual population","184","Rwanda","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 persons","4120.954","X","International reliable sources",""
"OA","Annual population","184","Rwanda","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 persons","4306.107","X","International reliable sources",""
"OA","Annual population","184","Rwanda","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 persons","7104.058","X","International reliable sources",""
"OA","Annual population","184","Rwanda","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 persons","1432.147","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","184","Rwanda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","8557.161","X","International reliable sources",""
"OA","Annual population","184","Rwanda","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 persons","4185.398","X","International reliable sources",""
"OA","Annual population","184","Rwanda","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 persons","4371.762","X","International reliable sources",""
"OA","Annual population","184","Rwanda","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 persons","7213.04","X","International reliable sources",""
"OA","Annual population","184","Rwanda","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 persons","1467.306","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
