Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","215","United Republic of Tanzania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","33499.18","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 persons","16661.171","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 persons","16838.006","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 persons","26553.317","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 persons","7624.725","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","215","United Republic of Tanzania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","34385.856","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 persons","17102.686","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 persons","17283.163","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 persons","27154.582","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 persons","7962.437","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","215","United Republic of Tanzania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","35334.788","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 persons","17575.959","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 persons","17758.831","X","International reliable sources",""
"OA","Annual population","215","United Republic of Tanzania","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 persons","27785.622","X","International reliable sources",""
