Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","97","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","97","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","98","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","98","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","99","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","98","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","97","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","97","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","97","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20092011","2009-2011","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20102012","2010-2012","%","57","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20112013","2011-2013","%","57","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20122014","2012-2014","%","58","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20132015","2013-2015","%","60","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20142016","2014-2016","%","60","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20152017","2015-2017","%","60","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20092011","2009-2011","g/capita/day","60.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20102012","2010-2012","g/capita/day","61.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20112013","2011-2013","g/capita/day","62","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20122014","2012-2014","g/capita/day","61.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20132015","2013-2015","g/capita/day","61.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20142016","2014-2016","g/capita/day","61.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","61.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20092011","2009-2011","g/capita/day","17","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20102012","2010-2012","g/capita/day","16.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20112013","2011-2013","g/capita/day","16","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20122014","2012-2014","g/capita/day","15","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20132015","2013-2015","g/capita/day","14.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20142016","2014-2016","g/capita/day","14.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","15","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210011","Number of people undernourished (million) (3-year average)","20092011","2009-2011","millions","10.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210011","Number of people undernourished (million) (3-year average)","20102012","2010-2012","millions","10.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210011","Number of people undernourished (million) (3-year average)","20112013","2011-2013","millions","10.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210011","Number of people undernourished (million) (3-year average)","20122014","2012-2014","millions","10.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210011","Number of people undernourished (million) (3-year average)","20132015","2013-2015","millions","10","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210011","Number of people undernourished (million) (3-year average)","20142016","2014-2016","millions","10.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210011","Number of people undernourished (million) (3-year average)","20152017","2015-2017","millions","11.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210011","Number of people undernourished (million) (3-year average)","20162018","2016-2018","millions","11.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","millions","11.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20142016","2014-2016","millions","9.2","","Official data","Official estimate"
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20152017","2015-2017","millions","9.4","","Official data","Official estimate"
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20162018","2016-2018","millions","9.6","","Official data","Official estimate"
"FS","Suite of Food Security Indicators","114","Kenya","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","millions","","NV","Data not available",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20092011","2009-2011","%","39.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20102012","2010-2012","%","32.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20112013","2011-2013","%","32.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20122014","2012-2014","%","33.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20132015","2013-2015","%","35.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20142016","2014-2016","%","40.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20152017","2015-2017","%","43.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20092011","2009-2011","%","29","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20102012","2010-2012","%","24","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20112013","2011-2013","%","26","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20122014","2012-2014","%","26","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20132015","2013-2015","%","29","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20142016","2014-2016","%","28","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20152017","2015-2017","%","35","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2010","2010","index","-1.17","X","International reliable sources",""
"FS","Suite of Food Security Indicators","114","Kenya","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2011","2011","index","-1.24","X","International reliable sources",""
"FS","Suite of Food Security Indicators","114","Kenya","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2012","2012","index","-1.32","X","International reliable sources",""
"FS","Suite of Food Security Indicators","114","Kenya","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2013","2013","index","-1.17","X","International reliable sources",""
"FS","Suite of Food Security Indicators","114","Kenya","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2014","2014","index","-1.28","X","International reliable sources",""
"FS","Suite of Food Security Indicators","114","Kenya","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2015","2015","index","-1.24","X","International reliable sources",""
"FS","Suite of Food Security Indicators","114","Kenya","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2016","2016","index","-1.35","X","International reliable sources",""
"FS","Suite of Food Security Indicators","114","Kenya","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-1.13","X","International reliable sources",""
"FS","Suite of Food Security Indicators","114","Kenya","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-1.16","X","International reliable sources",""
"FS","Suite of Food Security Indicators","114","Kenya","6127","Value","21030","Per capita food production variability (constant 2004-2006 thousand int$ per capita)","2010","2010","1000 I$","2.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6127","Value","21030","Per capita food production variability (constant 2004-2006 thousand int$ per capita)","2011","2011","1000 I$","2.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6127","Value","21030","Per capita food production variability (constant 2004-2006 thousand int$ per capita)","2012","2012","1000 I$","4.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6127","Value","21030","Per capita food production variability (constant 2004-2006 thousand int$ per capita)","2013","2013","1000 I$","5.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6127","Value","21030","Per capita food production variability (constant 2004-2006 thousand int$ per capita)","2014","2014","1000 I$","5.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6127","Value","21030","Per capita food production variability (constant 2004-2006 thousand int$ per capita)","2015","2015","1000 I$","5.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2010","2010","kcal/capita/day","42","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2011","2011","kcal/capita/day","31","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2012","2012","kcal/capita/day","16","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2013","2013","kcal/capita/day","18","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2014","2014","kcal/capita/day","11","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2015","2015","kcal/capita/day","12","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2016","2016","kcal/capita/day","15","F","FAO estimate",""
"FS","Suite of Food Security Indicators","114","Kenya","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2017","2017","kcal/capita/day","19","F","FAO estimate",""
