Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","102","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","103","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","104","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","106","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","108","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","110","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","110","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","110","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","109","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20092011","2009-2011","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20102012","2010-2012","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20112013","2011-2013","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20122014","2012-2014","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20132015","2013-2015","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20142016","2014-2016","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)","20152017","2015-2017","%","56","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20092011","2009-2011","g/capita/day","54.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20102012","2010-2012","g/capita/day","55","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20112013","2011-2013","g/capita/day","56.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20122014","2012-2014","g/capita/day","57.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20132015","2013-2015","g/capita/day","59","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20142016","2014-2016","g/capita/day","60","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","59.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20092011","2009-2011","g/capita/day","9.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20102012","2010-2012","g/capita/day","9.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20112013","2011-2013","g/capita/day","10","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20122014","2012-2014","g/capita/day","10","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20132015","2013-2015","g/capita/day","10","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20142016","2014-2016","g/capita/day","10","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","9.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6124","Value","21016","Rail lines density (total route in km per 100 square km of land area)","2011","2011","per 100 square km of land area","0.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6124","Value","21016","Rail lines density (total route in km per 100 square km of land area)","2017","2017","per 100 square km of land area","0.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20092011","2009-2011","millions","14","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20102012","2010-2012","millions","14","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20112013","2011-2013","millions","13.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20122014","2012-2014","millions","13.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20132015","2013-2015","millions","13.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20142016","2014-2016","millions","12.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20152017","2015-2017","millions","13","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20162018","2016-2018","millions","13.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","millions","14.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20142016","2014-2016","millions","","NV","Data not available",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20152017","2015-2017","millions","","NV","Data not available",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20162018","2016-2018","millions","13","","Official data","Official estimate"
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","millions","13.4","","Official data","Official estimate"
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20092011","2009-2011","%","14.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20102012","2010-2012","%","14","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20112013","2011-2013","%","12.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20122014","2012-2014","%","8.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20132015","2013-2015","%","6.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20142016","2014-2016","%","5.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20152017","2015-2017","%","6.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20092011","2009-2011","%","20","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20102012","2010-2012","%","21","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20112013","2011-2013","%","21","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20122014","2012-2014","%","21","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20132015","2013-2015","%","19","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20142016","2014-2016","%","18","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20152017","2015-2017","%","15","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2010","2010","index","0.01","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2011","2011","index","-0.02","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2012","2012","index","0.05","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2013","2013","index","-0.16","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2014","2014","index","-0.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2015","2015","index","-0.42","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2016","2016","index","-0.44","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-0.56","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.56","X","International reliable sources",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6127","Value","21030","Per capita food production variability (constant 2004-2006 thousand int$ per capita)","2010","2010","1000 I$","8.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6127","Value","21030","Per capita food production variability (constant 2004-2006 thousand int$ per capita)","2011","2011","1000 I$","8.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","215","United Republic of Tanzania","6127","Value","21030","Per capita food production variability (constant 2004-2006 thousand int$ per capita)","2012","2012","1000 I$","6.1","F","FAO estimate",""
