Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","226","Uganda","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","107","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","106","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","105","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","102","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","99","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","95","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","93","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","92","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","90","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20092011","2009-2011","g/capita/day","54.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20102012","2010-2012","g/capita/day","54","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20112013","2011-2013","g/capita/day","53.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20122014","2012-2014","g/capita/day","53","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20132015","2013-2015","g/capita/day","52.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20142016","2014-2016","g/capita/day","53","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","52.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20092011","2009-2011","g/capita/day","12","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20102012","2010-2012","g/capita/day","12","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20112013","2011-2013","g/capita/day","12","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20122014","2012-2014","g/capita/day","12","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20132015","2013-2015","g/capita/day","11.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20142016","2014-2016","g/capita/day","11.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","10.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","226","Uganda","6132","Value","210011","Number of people undernourished (million) (3-year average)","20092011","2009-2011","millions","","NV","Data not available",""
