Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2010","2010","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2011","2011","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2012","2012","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2013","2013","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2014","2014","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2015","2015","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2016","2016","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6600","Country area","2017","2017","1000 ha","2634","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2010","2010","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2011","2011","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2012","2012","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2013","2013","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2014","2014","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2015","2015","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2016","2016","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6601","Land area","2017","2017","1000 ha","2467","Fm","Manual Estimation"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2010","2010","1000 ha","1803.92","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2011","2011","1000 ha","1816.44","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2012","2012","1000 ha","1815.73","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2013","2013","1000 ha","1842.5","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2014","2014","1000 ha","1809.5","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2015","2015","1000 ha","1811.7","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2016","2016","1000 ha","1811.7","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6602","Agriculture","2017","2017","1000 ha","1811.7","Fc","Calculated data"
"RL","Land Use","184","Rwanda","5110","Area","6610","Agricultural land","2010","2010","1000 ha","1803.92","Fm","Manual Estimation"
