Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","226","Uganda","5110","Area","6600","Country area","2010","2010","1000 ha","24155","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6600","Country area","2011","2011","1000 ha","24155","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6600","Country area","2012","2012","1000 ha","24155","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6600","Country area","2013","2013","1000 ha","24155","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6600","Country area","2014","2014","1000 ha","24155","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6600","Country area","2015","2015","1000 ha","24155","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6600","Country area","2016","2016","1000 ha","24155","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6600","Country area","2017","2017","1000 ha","24155","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6601","Land area","2010","2010","1000 ha","20052","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6601","Land area","2011","2011","1000 ha","20052","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6601","Land area","2012","2012","1000 ha","20052","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6601","Land area","2013","2013","1000 ha","20052","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6601","Land area","2014","2014","1000 ha","20052","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","226","Uganda","5110","Area","6601","Land area","2015","2015","1000 ha","20052","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6601","Land area","2016","2016","1000 ha","20052","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6601","Land area","2017","2017","1000 ha","20052","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6602","Agriculture","2010","2010","1000 ha","14265","Fc","Calculated data"
"RL","Land Use","226","Uganda","5110","Area","6602","Agriculture","2011","2011","1000 ha","14365","Fc","Calculated data"
"RL","Land Use","226","Uganda","5110","Area","6602","Agriculture","2012","2012","1000 ha","14415","Fc","Calculated data"
"RL","Land Use","226","Uganda","5110","Area","6602","Agriculture","2013","2013","1000 ha","14415","Fc","Calculated data"
"RL","Land Use","226","Uganda","5110","Area","6602","Agriculture","2014","2014","1000 ha","14415","Fc","Calculated data"
"RL","Land Use","226","Uganda","5110","Area","6602","Agriculture","2015","2015","1000 ha","14415","Fc","Calculated data"
"RL","Land Use","226","Uganda","5110","Area","6602","Agriculture","2016","2016","1000 ha","14415","Fc","Calculated data"
"RL","Land Use","226","Uganda","5110","Area","6602","Agriculture","2017","2017","1000 ha","14415","Fc","Calculated data"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","2010","2010","1000 ha","14265","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","2011","2011","1000 ha","14365","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","2012","2012","1000 ha","14415","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","2013","2013","1000 ha","14415","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","2014","2014","1000 ha","14415","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","2015","2015","1000 ha","14415","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","2016","2016","1000 ha","14415","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","2017","2017","1000 ha","14415","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6620","Cropland","2010","2010","1000 ha","8950","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6620","Cropland","2011","2011","1000 ha","9050","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6620","Cropland","2012","2012","1000 ha","9100","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6620","Cropland","2013","2013","1000 ha","9100","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6620","Cropland","2014","2014","1000 ha","9100","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6620","Cropland","2015","2015","1000 ha","9100","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6620","Cropland","2016","2016","1000 ha","9100","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6620","Cropland","2017","2017","1000 ha","9100","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6621","Arable land","2010","2010","1000 ha","6750","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6621","Arable land","2011","2011","1000 ha","6850","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6621","Arable land","2012","2012","1000 ha","6900","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6621","Arable land","2013","2013","1000 ha","6900","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6621","Arable land","2014","2014","1000 ha","6900","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6621","Arable land","2015","2015","1000 ha","6900","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6621","Arable land","2016","2016","1000 ha","6900","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6621","Arable land","2017","2017","1000 ha","6900","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6650","Land under permanent crops","2010","2010","1000 ha","2200","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6650","Land under permanent crops","2011","2011","1000 ha","2200","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6650","Land under permanent crops","2012","2012","1000 ha","2200","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6650","Land under permanent crops","2013","2013","1000 ha","2200","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6650","Land under permanent crops","2014","2014","1000 ha","2200","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6650","Land under permanent crops","2015","2015","1000 ha","2200","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6650","Land under permanent crops","2016","2016","1000 ha","2200","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6650","Land under permanent crops","2017","2017","1000 ha","2200","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6646","Forest land","2010","2010","1000 ha","2753","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","226","Uganda","5110","Area","6646","Forest land","2011","2011","1000 ha","2617.8","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6646","Forest land","2012","2012","1000 ha","2482.6","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6646","Forest land","2013","2013","1000 ha","2347.4","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6646","Forest land","2014","2014","1000 ha","2212.2","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6646","Forest land","2015","2015","1000 ha","2077","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","226","Uganda","5110","Area","6646","Forest land","2016","2016","1000 ha","2077","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6646","Forest land","2017","2017","1000 ha","2077","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6714","Primary Forest","2010","2010","1000 ha","0","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","226","Uganda","5110","Area","6714","Primary Forest","2011","2011","1000 ha","0","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6714","Primary Forest","2012","2012","1000 ha","0","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6714","Primary Forest","2013","2013","1000 ha","0","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6714","Primary Forest","2014","2014","1000 ha","0","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6714","Primary Forest","2015","2015","1000 ha","0","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","226","Uganda","5110","Area","6714","Primary Forest","2016","2016","1000 ha","0","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6714","Primary Forest","2017","2017","1000 ha","0","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6717","Other naturally regenerated forest","2010","2010","1000 ha","2698","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","226","Uganda","5110","Area","6717","Other naturally regenerated forest","2011","2011","1000 ha","2561.8","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6717","Other naturally regenerated forest","2012","2012","1000 ha","2425.6","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6717","Other naturally regenerated forest","2013","2013","1000 ha","2289.4","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6717","Other naturally regenerated forest","2014","2014","1000 ha","2153.2","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6717","Other naturally regenerated forest","2015","2015","1000 ha","2017","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","226","Uganda","5110","Area","6717","Other naturally regenerated forest","2016","2016","1000 ha","2017","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6717","Other naturally regenerated forest","2017","2017","1000 ha","2017","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6716","Planted Forest","2010","2010","1000 ha","55","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","226","Uganda","5110","Area","6716","Planted Forest","2011","2011","1000 ha","56","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6716","Planted Forest","2012","2012","1000 ha","57","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6716","Planted Forest","2013","2013","1000 ha","58","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6716","Planted Forest","2014","2014","1000 ha","59","Fm","Manual Estimation"
"RL","Land Use","226","Uganda","5110","Area","6716","Planted Forest","2015","2015","1000 ha","60","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","226","Uganda","5110","Area","6716","Planted Forest","2016","2016","1000 ha","60","Fm","Manual Estimation"
